id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,location_cluster,bathroom_map,amenities_count,host_verifications_count,sentiment,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
44077,100,1,2,2,1,1,3,2,1,2,70,3,1125,1,2,11,18,104,258,31,7,0,2,0,2,0,1.85,7,8,50,2,0.90417,4.78,4.83,4.74,4.93,4.93,4.66,4.82
85156,100,1,2,2,1,1,3,2,1,1,67,3,21,1,3,9,21,110,210,28,4,0,2,0,2,0,1.53,7,8,35,2,0.91316,4.79,4.86,4.74,4.9,4.88,4.64,4.78
159889,100,0,3,4,1,1,3,1,1,1,45,2,21,1,1,16,36,290,355,44,6,0,3,0,3,0,2.78,1,10,27,2,0.82799,4.74,4.77,4.71,4.86,4.9,4.63,4.74
162809,92,1,2,2,1,1,3,6,2,4,80,1,12,1,2,2,2,74,326,41,1,0,2,0,2,0,3.68,7,8,48,2,0.87307,4.84,4.88,4.85,4.95,4.97,4.77,4.85
165828,100,0,5,5,1,1,4,5,1,3,251,3,365,1,1,4,21,31,64,17,0,1,5,5,0,0,0.48,5,6,26,2,0.81777,4.63,4.89,4.69,4.81,4.75,4.34,4.55
165829,100,0,5,5,1,1,4,5,1,3,244,3,365,1,8,12,12,14,76,20,1,1,5,5,0,0,0.59,5,6,30,2,0.85044,4.69,4.85,4.75,4.78,4.73,4.39,4.59
178860,100,0,2,3,1,1,3,2,1,1.262708703,80,2,4,1,0,0,0,0,313,0,0,0,2,1,1,0,2.57,5,8,21,2,0.94543,4.88,4.94,4.88,4.95,4.96,4.94,4.84
181823,100,0,2,6,1,1,3,1,1,1,139,1,1125,1,2,2,2,2,50,0,0,0,2,0,2,0,0.37,1,5,22,2,0.92418,4.6,4.62,4.47,4.79,4.83,4.47,4.47
237465,100,0,3,5,1,1,4,2,1,3,68,1,4,1,4,22,50,135,392,90,8,0,3,3,0,0,3,6,9,25,2,0.77211,4.56,4.71,4.56,4.81,4.79,4.39,4.61
245903,100,1,1,2,1,0,3,1,1,1,30,30,180,1,4,4,14,47,43,3,0,0,1,0,1,0,0.35,2,8,30,2,0.87994,4.93,4.93,4.9,4.98,5,4.66,4.85
